demo_id,filename,event,date,team1,team2,map_name,status,notes
pgl-major-copenhagen-2024__semi-final-2__vitality-vs-faze-m1-nuke,pgl-major-copenhagen-2024__semi-final-2__vitality-vs-faze-m1-nuke.dem,pgl major copenhagen 2024 | semi final 2,,vitality,faze,nuke,featured,20 rounds
pgl-major-copenhagen-2024__semi-final-2__vitality-vs-faze-m2-vertigo,pgl-major-copenhagen-2024__semi-final-2__vitality-vs-faze-m2-vertigo.dem,pgl major copenhagen 2024 | semi final 2,,vitality,faze,vertigo,featured,18 rounds
pgl-major-copenhagen-2024__semi-final-2__vitality-vs-faze-m3-inferno,pgl-major-copenhagen-2024__semi-final-2__vitality-vs-faze-m3-inferno.dem,pgl major copenhagen 2024 | semi final 2,,vitality,faze,inferno,featured,21 rounds
starladder-budapest-major-2025__final__vitality-vs-faze-m1-nuke,starladder-budapest-major-2025__final__vitality-vs-faze-m1-nuke.dem,starladder budapest major 2025 | final,,vitality,faze,nuke,featured,19 rounds
starladder-budapest-major-2025__final__vitality-vs-faze-m2-dust2,starladder-budapest-major-2025__final__vitality-vs-faze-m2-dust2.dem,starladder budapest major 2025 | final,,vitality,faze,dust2,featured,16 rounds
starladder-budapest-major-2025__final__vitality-vs-faze-m3-inferno,starladder-budapest-major-2025__final__vitality-vs-faze-m3-inferno.dem,starladder budapest major 2025 | final,,vitality,faze,inferno,featured,22 rounds
starladder-budapest-major-2025__final__vitality-vs-faze-m4-overpass,starladder-budapest-major-2025__final__vitality-vs-faze-m4-overpass.dem,starladder budapest major 2025 | final,,vitality,faze,overpass,featured,15 rounds
starladder-budapest-major-2025__semi-final-1__faze-vs-natus-vincere-m1-ancient,starladder-budapest-major-2025__semi-final-1__faze-vs-natus-vincere-m1-ancient.dem,starladder budapest major 2025 | semi final 1,,faze,natus vincere,ancient,featured,18 rounds
starladder-budapest-major-2025__semi-final-1__faze-vs-natus-vincere-m2-nuke,starladder-budapest-major-2025__semi-final-1__faze-vs-natus-vincere-m2-nuke.dem,starladder budapest major 2025 | semi final 1,,faze,natus vincere,nuke,featured,24 rounds
starladder-budapest-major-2025__semi-final-1__faze-vs-natus-vincere-m3-inferno,starladder-budapest-major-2025__semi-final-1__faze-vs-natus-vincere-m3-inferno.dem,starladder budapest major 2025 | semi final 1,,faze,natus vincere,inferno,featured,21 rounds
starladder-budapest-major-2025__semi-final-2__spirit-vs-vitality-m1-mirage,starladder-budapest-major-2025__semi-final-2__spirit-vs-vitality-m1-mirage.dem,starladder budapest major 2025 | semi final 2,,spirit,vitality,mirage,featured,36 rounds
starladder-budapest-major-2025__semi-final-2__spirit-vs-vitality-m2-dust2,starladder-budapest-major-2025__semi-final-2__spirit-vs-vitality-m2-dust2.dem,starladder budapest major 2025 | semi final 2,,spirit,vitality,dust2,featured,21 rounds
